频率（MHz）,二次测电压值(RMS),电流值(mA),二次侧功率(mW),一次测电压值(RMS),电流值(mA),一次侧功率(mW),传输效率(%)
1.135,4.77,11,52.47,9.7,26.58,257.826,20.35093435
1.136,4.76,11,52.36,9.7,27.39,265.683,19.70769677
1.137,4.75,11,52.25,9.7,28.39,275.383,18.97357498
1.138,4.74,11,52.14,9.7,28.39,275.383,18.93363062
1.139,4.73,11,52.03,9.7,28.39,275.383,18.89368625
1.14,4.72,11.11,52.4392,9.7,28.47,276.159,18.98877096
1.141,4.68,11,51.48,9.7,28.39,275.383,18.69396441
1.142,4.59,11,50.49,9.7,28.39,275.383,18.33446509
1.143,4.55,11,50.05,9.7,28.39,275.383,18.17468762
1.144,4.36,11,47.96,9.7,28.39,275.383,17.41574462
1.145,4.29,11,47.19,9.7,28.39,275.383,17.13613404
1.146,4.22,10.96,46.2512,9.7,28.39,275.383,16.79522701
1.147,4.18,10.85,45.353,9.75,28.39,276.8025,16.38460635
1.148,4.15,10.55,43.7825,9.77,28.39,277.3703,15.78485512
1.149,4.12,10.39,42.8068,9.78,28.39,277.6542,15.41730685
1.15,4.1,10.28,42.148,9.8,28.39,278.222,15.14905363
1.151,4.1,10.15,41.615,9.78,29,283.62,14.67280164
1.152,4,10.02,40.08,9.76,29.2,284.992,14.06355266
1.153,3.9,9.93,38.727,9.74,29.5,287.33,13.47823061
1.154,3.8,9.79,37.202,9.72,29.8,289.656,12.84351092
1.155,3.76,9.58,36.0208,9.68,30,290.4,12.40385675
1.156,3.64,9.3,33.852,9.62,30.2,290.524,11.6520494
1.157,3.58,9.12,32.6496,9.63,30.35,292.2705,11.17102137
1.158,3.55,9.01,31.9855,9.6,30.47,292.512,10.93476507
1.159,3.45,9,31.05,9.6,30.57,293.472,10.58022571
1.16,3.36,8.98,30.1728,9.6,30.6,293.76,10.27124183
1.161,3.32,8.99,29.8468,9.6,30,288,10.36347222
1.162,3.3,8.85,29.205,9.6,30,288,10.140625
1.163,3.3,8.86,29.238,9.6,30,288,10.15208333
1.164,3.3,8.86,29.238,9.6,30,288,10.15208333
1.165,3.3,8.84,29.172,9.6,30,288,10.12916667
1.166,3.3,8.82,29.106,9.6,30,288,10.10625
1.167,3.29,8.87,29.1823,9.6,30,288,10.13274306
1.168,3.27,8.85,28.9395,9.6,30,288,10.0484375
1.169,3.29,8.85,29.1165,9.55,30,286.5,10.16282723
1.17,3.29,8.85,29.1165,9.5,29.48,280.06,10.39652217
1.171,3.15,8.74,27.531,9.5,28.6,271.7,10.13286713
1.172,3.1,8.7,26.97,9.5,27.1,257.45,10.47582055
1.173,3.02,8.6,25.972,9.5,26.05,247.475,10.49479745
1.174,2.95,8.67,25.5765,9.5,25.59,243.105,10.52076263
1.175,2.9,8.65,25.085,9.5,24.88,236.36,10.61304789
1.176,2.8,8.6,24.08,9.5,24.21,229.995,10.46979282
1.177,2.71,8.58,23.2518,9.5,23.98,227.81,10.20666345
1.178,2.68,8.55,22.914,9.45,24.8,234.36,9.777265745
1.179,2.68,8.5,22.78,9.45,24.8,234.36,9.720088752
1.18,2.65,7.46,19.769,9.4,23.75,223.25,8.855095185
1.181,2.63,6.3,16.569,9.4,23.37,219.678,7.542402972
1.182,2.61,5.8,15.138,9.4,23.05,216.67,6.986661744
1.183,2.6,4.9,12.74,9.4,22.56,212.064,6.007620341
1.184,2.58,4.1,10.578,9.4,21.9,205.86,5.138443602
1.185,2.5,3.55,8.875,9.4,21.5,202.1,4.391390401
1.186,2.42,3.21,7.7682,9.4,19.8,186.12,4.173758865
1.187,2.4,3.1,7.44,9.4,18,169.2,4.397163121
1.188,2.35,3.01,7.0735,9.4,16.8,157.92,4.479166667
1.189,2.32,2.95,6.844,9.4,16.5,155.1,4.412637008
1.19,2.31,2.85,6.5835,9.4,16.26,152.844,4.307332967
1.191,2.3,2.78,6.394,9.5,16,152,4.206578947
1.192,2.26,2.69,6.0794,9.5,15.8,150.1,4.050233178
1.193,2.25,2.67,6.0075,9.5,15.2,144.4,4.16031856
1.194,2.24,2.5,5.6,9.5,14.8,140.6,3.982930299
1.195,2.23,2.21,4.9283,9.5,14.2,134.9,3.65329874
1.196,2.22,1.96,4.3512,9.5,13.9,132.05,3.295115487
1.197,2.2,1.88,4.136,9.5,13.5,128.25,3.224951267
1.198,2.2,1.66,3.652,9.5,12.9,122.55,2.98000816
1.199,2.19,1.45,3.1755,9.5,12.5,118.75,2.674105263
1.2,2.19,1.38,3.0222,9.4,11.3,106.22,2.845226888
1.201,2.15,1.35,2.9025,9.5,11.25,106.875,2.715789474
1.202,2.12,1.29,2.7348,9.5,11.12,105.64,2.588792124
1.203,2.1,1.21,2.541,9.5,11.1,105.45,2.409672831
1.204,2.05,1.09,2.2345,9.5,11.1,105.45,2.119013751
1.205,2,1.05,2.1,9.5,11,104.5,2.009569378
1.206,1.95,1,1.95,9.5,10.8,102.6,1.900584795
1.207,1.93,0.99,1.9107,9.5,10.8,102.6,1.862280702
1.208,1.92,0.95,1.824,9.5,10.5,99.75,1.828571429
1.209,1.9,0.9,1.71,9.5,10.2,96.9,1.764705882
1.21,1.89,0.89,1.6821,9.5,9.98,94.81,1.774179939
1.211,1.85,0.88,1.628,9.5,10,95,1.713684211
1.212,1.82,0.86,1.5652,9.5,10,95,1.647578947
1.213,1.8,0.8,1.44,9.5,10,95,1.515789474
1.214,1.77,0.78,1.3806,9.5,10,95,1.453263158
1.215,1.72,0.75,1.29,9.5,10,95,1.357894737
1.216,1.69,0.73,1.2337,9.5,10,95,1.298631579
1.217,1.65,0.71,1.1715,9.5,10,95,1.233157895
1.218,1.65,0.68,1.122,9.5,10,95,1.181052632
1.219,1.62,0.68,1.1016,9.5,10,95,1.159578947
1.22,1.6,0.65,1.04,9.5,10,95,1.094736842
1.221,1.58,0.66,1.0428,9.5,10,95,1.097684211
1.222,1.57,0.65,1.0205,9.5,10,95,1.074210526
1.223,1.55,0.63,0.9765,9.5,10,95,1.027894737
1.224,1.52,0.65,0.988,9.5,10,95,1.04
1.225,1.48,0.65,0.962,9.5,10,95,1.012631579
1.226,1.42,0.62,0.8804,9.5,10,95,0.926736842
1.227,1.38,0.59,0.8142,9.5,10,95,0.857052632
1.228,1.35,0.52,0.702,9.5,10,95,0.738947368
1.229,1.24,0.5,0.62,9.5,10,95,0.652631579
1.23,1.33,0.48,0.6384,9.5,10,95,0.672
1.231,1.34,0.46,0.6164,9.5,10,95,0.648842105
1.232,1.3,0.46,0.598,9.5,10,95,0.629473684
1.233,1.28,0.42,0.5376,9.5,10,95,0.565894737
1.234,1.29,0.39,0.5031,9.5,10,95,0.529578947
1.235,1.22,0.38,0.4636,9.5,10,95,0.488
1.236,1.21,0.36,0.4356,9.5,10,95,0.458526316
1.237,1.19,0.34,0.4046,9.5,10,95,0.425894737
1.238,1.15,0.33,0.3795,9.5,11,104.5,0.363157895
1.239,1.12,0.24,0.2688,9.5,11,104.5,0.25722488
1.24,1.1,0.24,0.264,9.5,11,104.5,0.252631579
1.241,1.1,0.24,0.264,9.5,11,104.5,0.252631579
1.242,1.09,0.24,0.2616,9.5,11,104.5,0.250334928
1.243,1.07,0.24,0.2568,9.5,11,104.5,0.245741627
1.244,1.04,0.24,0.2496,9.5,11,104.5,0.238851675
1.245,1.03,0.24,0.2472,9.5,11,104.5,0.236555024
1.246,1.03,0.24,0.2472,9.5,11,104.5,0.236555024
1.247,1.02,0.24,0.2448,9.5,11,104.5,0.234258373
1.248,1.02,0.24,0.2448,9.5,11,104.5,0.234258373
1.249,1.01,0.24,0.2424,9.5,11,104.5,0.231961722
1.25,1.01,0.24,0.2424,9.5,11,104.5,0.231961722
